"Дата";"Заражений"
22.01.2020;557
23.01.2020;655
24.01.2020;941
25.01.2020;1434
26.01.2020;2118
27.01.2020;2927
28.01.2020;5578
29.01.2020;6167
30.01.2020;8235
31.01.2020;9927
01.02.2020;12038
02.02.2020;16787
03.02.2020;19887
04.02.2020;23898
05.02.2020;27643
06.02.2020;30805
07.02.2020;34399
08.02.2020;37130
09.02.2020;40161
10.02.2020;42769
11.02.2020;44812
12.02.2020;45230
13.02.2020;60382
14.02.2020;66910
15.02.2020;69053
16.02.2020;71236
17.02.2020;73271
18.02.2020;75153
19.02.2020;75653
20.02.2020;76213
21.02.2020;76842
22.02.2020;78603
23.02.2020;78984
24.02.2020;79552
25.02.2020;80406
26.02.2020;81383
27.02.2020;82742
28.02.2020;84131
29.02.2020;86027
01.03.2020;88403
02.03.2020;90383
03.03.2020;92984
04.03.2020;95290
05.03.2020;98108
06.03.2020;102022
07.03.2020;106126
08.03.2020;110063
09.03.2020;114246
10.03.2020;119075
11.03.2020;126768
12.03.2020;132643
13.03.2020;146958
14.03.2020;158014
15.03.2020;169302
16.03.2020;184112
17.03.2020;200124
18.03.2020;219703
19.03.2020;246823
20.03.2020;277745
21.03.2020;309859
22.03.2020;345007
23.03.2020;387680
24.03.2020;428774
25.03.2020;479865
26.03.2020;542710
27.03.2020;607666
28.03.2020;677314
29.03.2020;734223
30.03.2020;799419
31.03.2020;876307
01.04.2020;958542
02.04.2020;1041402
03.04.2020;1125473
04.04.2020;1184079
05.04.2020;1254492
06.04.2020;1328479
07.04.2020;1397671
08.04.2020;1481003
09.04.2020;1567517
10.04.2020;1652871
11.04.2020;1726896
12.04.2020;1846009
13.04.2020;1917111
14.04.2020;2000946
15.04.2020;2078937
16.04.2020;2173150
17.04.2020;2260925
18.04.2020;2337596
19.04.2020;2414119
20.04.2020;2490004
21.04.2020;2565609
22.04.2020;2646918
23.04.2020;2730276
24.04.2020;2814157
25.04.2020;2897241
26.04.2020;2968133
27.04.2020;3039194
28.04.2020;3114821
29.04.2020;3192032
30.04.2020;3275290
